Year,PlayerID,TourID,EventID,Event_Code,Host,Location,Game,Buy_In,Total_Entries,Counted_Entries,Entries/Indivdual,Buy_In_Est_Rebuys,Cashed,Won,Points,Place,PGT_Point,Amount_Won,Net
2016,1285,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1254,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1286,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1255,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1287,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1237,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1288,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1258,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1289,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1261,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1263,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1290,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1265,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1266,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1268,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1291,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1292,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1293,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1294,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1271,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1295,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1273,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1296,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1240,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1297,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1275,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1238,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1236,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1298,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2016,1299,125,236,125236,PokerGo Studios,"Las Vegas, NV",NLH,300000,49,49,1,300000,0,0,0,0,0,0,-300000
2017,1252,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,1,485,1,900,6000000,5700000
2017,1290,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,343,2,600,3600000,3300000
2017,1301,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,280,3,500,2400000,2100000
2017,1300,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,242,4,450,1800000,1500000
2017,1250,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,217,5,400,1400000,1100000
2017,1273,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,198,6,400,1000000,700000
2017,1291,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,1,0,183,7,180,600000,300000
2017,1242,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1243,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1302,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1244,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1245,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1246,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1283,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1247,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1284,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1249,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1241,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1279,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1251,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1303,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1239,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1253,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1285,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1278,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1254,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1255,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1287,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1237,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1288,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1258,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1235,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1260,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1304,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1289,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1261,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1263,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1264,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1265,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1266,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1305,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1306,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1307,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1308,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1280,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1294,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1281,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1282,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1296,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1240,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1309,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1310,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1275,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1236,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1311,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1312,126,237,126237,PokerGo Studios,"Las Vegas, NV",NLH,300000,56,56,1,300000,0,0,0,0,0,0,-300000
2017,1315,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,1,407,1,551,918000,868000
2017,1314,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,288,2,337,561000,511000
2017,1310,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,203,4,184,306000,256000
2017,1301,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,235,3,122,204000,154000
2017,1288,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,182,5,107,178500,128500
2017,1307,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,166,6,92,153000,103000
2017,1313,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,154,7,77,127500,77500
2017,1255,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,1,0,144,8,61,102000,52000
2017,1316,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1245,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1283,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1317,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1241,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1279,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1251,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1303,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1254,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1318,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1237,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1258,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1235,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1260,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1263,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1290,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1264,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1291,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
